acadia	#35312C
acapulco	#75AA94
acorn	#736330
aeroblue	#C0E8D5
affair	#745085
afghantan	#905E26
akaroa	#BEB29A
alabaster	#F2F0E6
albescentwhite	#E1DACB
alerttan	#954E2C
aliceblue	#F0F8FF
allports	#1F6A7D
almondfrost	#9A8678
alpine	#AD8A3B
alto	#CDC6C5
aluminium	#76736F
amazon	#387B54
americano	#8A7D72
amethystsmoke	#95879C
amour	#F5E6EA
amulet	#7D9D72
anakiwa	#8CCEEA
antiquebrass	#6C461F
antiquewhite	#FAEBD7
anzac	#C68E3F
apache	#D3A95C
apple	#66B348
appleblossom	#A95249
applegreen	#DEEADC
apricot	#E48F67
apricotwhite	#F7F0DB
aqua	#00FFFF
aqua	#92D3CA
aquahaze	#D9DDD5
aquamarine	#7FFFD4
aquamarine	#205948
aquaspring	#E8F3E8
aquasqueeze	#DBE4DC
arapawa	#274A5D
armadillo	#484A46
arrowtown	#827A67
ash	#BEBAA7
ashbrown	#493F2F
asphalt	#2A2922
astra	#EDD5A6
astral	#376F89
astronaut	#445172
astronautblue	#214559
athensgrey	#DCDDDD
athsspecial	#D5CBB2
atlantis	#9CD03B
atoll	#2B797A
atomic	#3D4B52
aubergine	#372528
auchico	#9E6759
australianmint	#EFF8AA
avocado	#95986B
axolotl	#63775A
azalea	#F9C0C4
aztec	#293432
azure	#F0FFFF
azure	#4E699A
bahamablue	#25597F
bahia	#A9C01C
bajawhite	#F0DFBB
balihai	#849CA9
balticsea	#3C3D3E
bamboo	#BA6F3F
bandicoot	#878466
banjul	#34322D
barberry	#D2C61F
barleycorn	#B6935C
barleywhite	#F7E5B7
barossa	#452E39
bastille	#2C2C32
battleshipgrey	#51574F
bayleaf	#7BB18D
bayofmany	#353E64
bazaar	#8F7777
bean	#4A3531
beautybush	#EBB9B3
beeswax	#E9D7AB
beige	#F5F5DC
bermuda	#86D2C1
bermudagrey	#6F8C9F
berylgreen	#BCBFA8
bianca	#F4EFE0
bigstone	#334046
bilbao	#3E8027
bilobaflower	#AE99D2
birch	#3F3726
birdflower	#D0C117
biscay	#2F3C53
bismark	#486C7A
bisonhide	#B5AC94
bisque	#FFE4C4
bitter	#88896C
bitterlemon	#D2DB32
bizarre	#E7D2C8
black	#000000
blackbean	#232E26
blackberry	#43182F
blackcurrant	#2E183B
blackforest	#2C3227
blackhaze	#E0DED7
blackmagic	#332C22
blackmarlin	#383740
blackpearl	#1E272C
blackpepper	#3C3731
blackrock	#2C2D3C
blackrose	#532934
blackrussian	#24252B
blacksqueeze	#E5E6DF
blackwhite	#E5E4DB
blackwood	#3F372E
blanc	#D9D0C1
blanchedalmond	#FFEBCD
bleachedcedar	#454647
bleachwhite	#EBE1CE
blossom	#DFB1B6
blue	#0000FF
bluebark	#1E272C
bluebayoux	#62777E
bluebell	#392D73
bluechalk	#E3D6E9
bluecharcoal	#262B2F
bluechill	#408F90
bluediamond	#4B2D72
bluedianne	#35514F
bluegem	#4B3C8E
bluehaze	#BDBACE
bluelagoon	#00626F
bluemarguerite	#6A5BB1
blueromance	#D8F0D2
bluesmoke	#78857A
bluestone	#166461
blueviolet	#8A2BE2
bluewhale	#1E3442
bluezodiac	#3C4354
blumine	#305C71
blush	#B55067
bokaragrey	#2A2725
bombay	#AEAEAD
bondiblue	#26416B
bone	#DBC2AB
bonjour	#DFD7D2
bordeaux	#4C1C24
bossanova	#4C3D4E
bostonblue	#438EAC
botticelli	#92ACB4
bottlegreen	#254636
boulder	#7C817C
bouquet	#A78199
bourbon	#AF6C3E
bracken	#5B3D27
brandy	#DCB68A
brandypunch	#C07C40
brandyrose	#B6857A
brazil	#815B28
breakerbay	#517B78
bridalheath	#F8EBDD
bridesmaid	#FAE6DF
brightgrey	#57595D
brightred	#922A31
brightsun	#ECBD2C
bronco	#A79781
bronze	#493B2F
bronzeolive	#584C25
bronzetone	#434C28
broom	#EECC24
brown	#A52A2A
brownbramble	#53331E
brownderby	#594537
brownpod	#3C241B
bubbles	#E6F2EA
buccaneer	#6E5150
bud	#A5A88F
buddhagold	#BC9B1B
bulgarianrose	#482427
bullshot	#75442B
bunker	#292C2F
bunting	#2B3449
burgundy	#652525
burlywood	#DEB887
burnham	#234537
burningsand	#D08363
burntcrimson	#582124
bush	#254636
buttercup	#DA9429
butteredrum	#9D702E
butterflybush	#68578C
buttermilk	#F6E0A4
butterywhite	#F1EBDA
cabaret	#CD526C
cabbagepont	#4C5544
cabsav	#4A2E32
cactus	#5B6F55
cadetblue	#5F9EA0
cadillac	#984961
caferoyale	#6A4928
calico	#D5B185
california	#E98C3A
calypso	#3D7188
camarone	#206937
camelot	#803A4B
cameo	#CCA483
camouflage	#4F4D32
canary	#E2E64D
cancan	#D08A9B
candlelight	#E09D37
cannonblack	#332C22
cannonpink	#8E5164
canvas	#A39977
capecod	#4E5552
capehoney	#FEE0A5
capepalliser	#75482F
caper	#AFC182
capri	#30436A
caramel	#FFD59A
cararra	#EBE5D5
cardinal	#8A244E
cardingreen	#1B3427
careyspink	#C99AA0
carissma	#E68095
carla	#F5F9CB
carnabytan	#5B3A24
carouselpink	#F8DBE0
casablanca	#F0B253
casal	#3F545A
cascade	#8CA8A0
cashmere	#D1B399
casper	#AAB5B8
castro	#44232F
catalinablue	#273C5A
catskillwhite	#E0E4DC
cavernpink	#E0B8B1
cedar	#463430
celery	#B4C04C
celeste	#D2D2C0
cello	#3A4E5F
celtic	#2B3F36
cement	#857158
ceramic	#DFDDD6
cesoir	#9271A7
chablis	#FDE9E0
chaletgreen	#5A6E41
chalky	#DFC281
chambray	#475877
chamois	#E6CC9A
champagne	#EED9B6
chantilly	#EDB8C7
charade	#394043
chardon	#F8EADF
chardonnay	#FFC878
charlotte	#A4DCE6
charm	#D0748B
chartreuse	#7FFF00
chateaugreen	#419F59
chatelle	#B3ABB6
chathamsblue	#2C5971
chelseacucumber	#88A95B
chelseagem	#95532F
chenin	#DEC371
cherokee	#F5CD82
cherrypie	#372D52
cherrywood	#4E312E
cherub	#F5D7DC
chetwodeblue	#666FB4
chicago	#5B5D56
chiffon	#F0F5BB
chileanfire	#D05E34
chileanheath	#F9F7DE
chinaivory	#FBF3D3
chino	#B8AD8A
chinook	#9DD3A8
chocolate	#D2691E
chocolate	#3D2327
christalle	#382161
christi	#71A91D
christine	#BF652E
chromewhite	#CAC7B7
cigar	#7D4E38
cinder	#242A2E
cinderella	#FBD7CC
cinnamon	#7B482B
cioccolato	#5D3B2E
citron	#8E9A21
citrus	#9FB70A
clairvoyant	#683B7D
clamshell	#D2B3A9
claret	#6E2233
classicrose	#F4C8DB
claycreek	#897E59
clearday	#DFEFEA
clementine	#C14F3B
clinker	#463623
cloud	#C2BCB1
cloudburst	#353E4F
cloudy	#B0A99F
clover	#47562F
cobalt	#273C5A
cocoabean	#4F3835
cocoabrown	#35281E
coconutcream	#E1DABB
codgrey	#2D3032
coffee	#726751
coffeebean	#362D26
cognac	#9A463D
cola	#3C2F23
coldpurple	#9D8ABF
coldturkey	#CAB5B2
colonialwhite	#E9D7AB
comet	#636373
como	#4C785C
conch	#A0B1AE
concord	#827F79
concrete	#D2D1CD
confetti	#DDCB46
congobrown	#654D49
conifer	#B1DD52
contessa	#C16F68
coppercanyon	#77422C
copperrust	#95524C
coral	#C0B093
coral	#FF7F50
coralcandy	#F5D0C9
coraltree	#AB6E67
corduroy	#404D49
coriander	#BBB58D
cork	#5A4C42
corn	#DFAA28
cornfield	#F8F3C4
cornflower	#FFABA0
cornflowerblue	#6495ED
cornharvest	#8D702A
cornsilk	#FFF8DC
corvette	#E9BA81
cosmic	#794D60
cosmos	#FCD5CF
costadelsol	#625D2A
cottonseed	#BFBAAF
countygreen	#1B4B35
covegrey	#343F5C
cowboy	#443736
crabapple	#87382F
crail	#A65648
cranberry	#B43864
craterbrown	#4D3E3C
creambrulee	#FFE39B
creamcan	#EEC051
cremedebanane	#E0C161
creole	#393227
crete	#77712B
crimson	#DC143C
crocodile	#706950
crownofthorns	#763C33
crowshead	#32312E
cruise	#B4E2D5
crusoe	#165B31
crusta	#F38653
cubantan	#362D26
cumin	#784430
cumulus	#F5F4C1
cupid	#F5B2C5
curiousblue	#3D85B8
cuttysark	#5C8173
cyan	#00FFFF
cyprus	#0F4645
daintree	#273F41
dairycream	#EDD2A4
daisybush	#5B3E90
dallas	#664A2D
danube	#5B89C0
darkblue	#00008B
darkcyan	#008B8B
darkebony	#37312B
darkgoldenrod	#B8860B
darkgray	#A9A9A9
darkgreen	#006400
darkgrey	#A9A9A9
darkkhaki	#BDB76B
darkmagenta	#8B008B
darkoak	#55342B
darkolivegreen	#556B2F
darkorange	#FF8C00
darkorchid	#9932CC
darkred	#8B0000
darkrimu	#704128
darkrum	#45362B
darksalmon	#E9967A
darkseagreen	#8FBC8F
darkslate	#465352
darkslateblue	#483D8B
darkslategray	#2F4F4F
darkslategrey	#2F4F4F
darktan	#612D2D
darkturquoise	#00CED1
darkviolet	#9400D3
dawn	#9F9D91
dawnpink	#E6D6CD
deco	#CCCF82
deepblush	#E36F8A
deepbronze	#51412D
deepcove	#3A4E58
deepfir	#193925
deepkoamaru	#343467
deepoak	#3D322C
deeppink	#FF1493
deepsea	#167E65
deepskyblue	#00BFFF
deepteal	#19443C
dell	#486531
delrio	#B5998E
delta	#999B95
deluge	#8272A4
derby	#F9E4C6
desert	#A15F3B
desertstorm	#EDE7E0
dew	#E7F2E9
deyork	#85CA87
diesel	#322C2B
dimgray	#696969
dimgrey	#696969
dingley	#607C47
disco	#892D4F
diserria	#D4915D
dixie	#CD8431
dodgerblue	#1E90FF
dolly	#F5F171
dolphin	#6A6873
domino	#6C5B4C
donjuan	#5A4F51
donkeybrown	#816E5C
dorado	#6E5F56
doublecolonialwhite	#E4CF99
doublepearllusta	#E9DCBE
doublespanishwhite	#D2C3A3
dovegrey	#777672
downriver	#2A344A
downy	#6FD2BE
driftwood	#8F6F48
drover	#FBEB9B
dune	#514F4A
duststorm	#E5CAC0
dustygrey	#AC9B9B
dutchwhite	#F0DFBB
eagle	#B0AC94
earlsgreen	#B8A722
earlydawn	#FBF2DB
eastbay	#47526E
easternblue	#00879F
eastside	#AA8CBC
ebb	#E6D8D4
ebony	#313337
ebonyclay	#323438
echoblue	#A4AFCD
eclipse	#3F3939
ecruwhite	#D6D1C0
ecstasy	#C96138
eden	#266255
edgewater	#C1D8C5
edward	#97A49A
eggsour	#F9E4C5
eggwhite	#E0C88D
elephant	#243640
elfgreen	#1B8A6B
elm	#297B76
elpaso	#39392C
elsalva	#8F4E45
embers	#8C3F30
eminence	#6E3974
